,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,31602,0.0,0.000000,0.000000,18175110,1290281293241647037,2.207777976989746
1,31603,0.0,0.000000,0.000000,-1,821491702794,2.2152132987976074
2,31605,0.0,0.000000,0.000000,5304973,711568741124538367,2.216322660446167
3,31606,0.0,0.000000,0.000000,1,-34379995928858,2.200223445892334
4,31607,0.0,0.000000,0.000000,-61,0,2.2142245769500732
5,31608,0.0,0.000000,0.000000,10952757162803198,-145967684780033,2.1967077255249023
6,31609,0.0,0.000000,0.000000,0,-5188146770730811389,2.2006537914276123
7,31610,1e-06,0.000000,0.000001,0,-16046054,2.2195186614990234
8,31612,1e-06,0.000000,0.000001,22195675336802303,0,2.2146058082580566
9,31613,0.0,0.000000,0.000000,42436700,0,2.2106451988220215
10,31614,0.0,0.000000,0.000000,80800937953126,-1819689355,2.2123186588287354
11,31616,1e-06,0.000000,0.000001,5012903,0,2.2374751567840576
12,31617,0.0,0.000000,0.000000,0,-108086391056891905,2.2086923122406006
13,31618,0.0,0.000000,0.000000,-456892,65302194596872193,2.2139508724212646
14,31619,0.0,0.000000,0.000000,35081017995821055,2017612633061982207,2.201207160949707
15,31623,0.0,0.000000,0.000000,112612,-1,2.2111172676086426
16,31626,0.0,0.000000,0.000000,1,1297036692682702847,2.2103970050811768
17,31628,0.0,0.000000,0.000000,-1,-963770320257286144,2.207388401031494
18,31629,0.0,0.000000,0.000000,19352,-21279572,2.221524477005005
19,31630,0.0,0.000000,0.000000,-1807228073322035,-31525197391593471,2.203522205352783
20,31633,0.0,0.000000,0.000000,0,5476377146882523133,2.217071294784546
21,31634,0.0,0.000000,0.000000,0,252201579132747776,2.1906955242156982
22,31635,0.0,0.000000,0.000000,-295309444328194046,0,2.213446617126465
23,31636,0.0,0.000000,0.000000,1,0,2.2129616737365723
24,31637,0.0,0.000000,0.000000,-88065777,1,2.2157208919525146
25,31639,0.0,0.000000,0.000000,0,-2882303761517117438,2.2062325477600098
26,31641,0.0,0.000000,0.000000,-17476916539764,0,2.2035300731658936
27,31643,0.0,0.000000,0.000000,1,-11865421,2.214010238647461
28,31644,0.0,0.000000,0.000000,-103862,-983218681659,2.2036948204040527
29,31646,0.0,0.000000,0.000000,1,16578909499997,2.215547561645508
30,31647,0.0,0.000000,0.000000,57245,0,2.205109119415283
31,31649,0.0,0.000000,0.000000,61102060178767868,-6147320,2.232790470123291
32,31650,0.0,0.000000,0.000000,0,-150870587516911617,2.2014620304107666
33,31651,0.0,0.000000,0.000000,0,-108086391056891903,2.20888090133667
34,31654,1e-06,0.000000,0.000001,0,6629298651489370107,2.190518379211426
35,31655,1e-06,0.000000,0.000001,-1,0,2.2094662189483643
36,31656,0.0,0.000000,0.000000,3910182809175,-3940649673949185,2.2102301120758057
37,31657,0.0,0.000000,0.000000,0,1311843540896055297,2.208913564682007
38,31658,0.0,0.000000,0.000000,-549439154539200513,324259173170675712,2.1993179321289062
39,31659,1e-06,0.000000,0.000001,-1,394980957,2.2116293907165527
40,31660,0.0,0.000000,0.000000,0,9007199254740991,2.2171859741210938
41,31663,0.0,0.000000,0.000000,0,125653335862,2.2031242847442627
42,31664,1e-06,0.000000,0.000001,1614031,-11,2.223945379257202
43,31665,0.0,0.000000,0.000000,1,0,2.1991286277770996
44,31668,0.0,0.000000,0.000000,9070721040,-3458764513820540926,2.2103779315948486
45,31671,0.0,0.000000,0.000000,0,0,2.1934731006622314
46,31676,0.0,0.000000,0.000000,-1610,-3,2.2052595615386963
47,31678,0.0,0.000000,0.000000,-1,261208778387488767,2.197146415710449
48,31683,0.0,0.000000,0.000000,-14413987304,-1132583617,2.2006278038024902
49,31684,0.0,0.000000,0.000000,256307715184754,1302312874,2.1935384273529053
50,31685,0.0,0.000000,0.000000,447228553621143552,-1846908280635393,2.2065799236297607
51,31686,0.0,0.000000,0.000000,0,-423377765,2.2115161418914795
52,31688,0.0,0.000000,0.000000,-188610505009528827,23905421972,2.1947169303894043
53,31690,0.0,0.000000,0.000000,0,-144115188075855872,2.2155416011810303
54,31694,0.0,0.000000,0.000000,0,-247697979505377281,2.20269775390625
55,31696,0.0,0.000000,0.000000,0,-7205759403792793596,2.212468147277832
56,31698,0.0,0.000000,0.000000,-7830938,-551499595774,2.20089054107666
57,31699,0.0,0.000000,0.000000,-1,7346541559808,2.2122249603271484
58,31702,0.0,0.000000,0.000000,0,1983835635856703485,2.203885078430176
59,31703,0.0,0.000000,0.000000,1,-63406976534,2.1956732273101807
60,31705,1e-06,0.000000,0.000001,-1,0,2.2135162353515625
61,31706,0.0,0.000000,0.000000,0,-214280554,2.1999642848968506
62,31711,0.0,0.000000,0.000000,1,-2232,2.2233598232269287
63,31712,1e-06,0.000000,0.000001,115839,-148618787703226367,2.197390079498291
64,31715,0.0,0.000000,0.000000,67,-384701804,2.227726697921753
65,31716,0.0,0.000000,0.000000,2663533360889852,2019064251,2.2035632133483887
66,31717,0.0,0.000000,0.000000,-815714482507481076,0,2.204263925552368
67,31720,0.0,0.000000,0.000000,0,-1,2.202174663543701
68,31721,0.0,0.000000,0.000000,0,0,2.2054615020751953
69,31722,0.0,0.000000,0.000000,14283322093568,6015749614158,2.2188892364501953
70,31723,0.0,0.000000,0.000000,1,99206647890,2.1954944133758545
71,31726,0.0,0.000000,0.000000,1,-1,2.2145872116088867
72,31727,0.0,0.000000,0.000000,1,0,2.199847936630249
73,31728,0.0,0.000000,0.000000,-930,26800,2.2216625213623047
74,31729,1e-06,0.000000,0.000001,0,-23534226501767,2.202475070953369
75,31731,0.0,0.000000,0.000000,-901,-612489549322387455,2.216519355773926
76,31732,0.0,0.000000,0.000000,-4409877,1729382256910270463,2.196078300476074
77,31733,0.0,0.000000,0.000000,0,63679587,2.2188801765441895
78,31734,0.0,0.000000,0.000000,-1,-1,2.1970326900482178
79,31735,1e-06,0.000000,0.000001,0,4675718485823840,2.214237928390503
80,31736,0.0,0.000000,0.000000,4377793,-4611686018427387901,2.2006640434265137
81,31737,0.0,0.000000,0.000000,1,-1297036692682702846,2.192582368850708
82,31738,1e-06,0.000000,0.000001,-70063618,-3458764513820540926,2.222295045852661
83,31739,1e-06,0.000000,0.000001,-4804,7638104968020361217,2.2036826610565186
84,31742,0.0,0.000000,0.000000,-676928664,305470718475239425,2.21621036529541
85,31746,0.0,0.000000,0.000000,82584,25161937977343,2.2035632133483887
86,31748,0.0,0.000000,0.000000,1,-2359886204742139900,2.2121212482452393
87,31749,0.0,0.000000,0.000000,0,-152760,2.2173268795013428
88,31750,0.0,0.000000,0.000000,1164888882,-67094488121,2.218797206878662
89,31751,1e-06,0.000000,0.000001,2938348,1,2.204251289367676
90,31752,0.0,0.000000,0.000000,0,8682338598780928,2.2211873531341553
91,31753,1e-06,0.000000,0.000001,1,-1,2.215358018875122
92,31754,1e-06,0.000000,0.000001,0,-69292538200064,2.2010867595672607
93,31755,0.0,0.000000,0.000000,0,106430595651399,2.2258405685424805
94,31758,0.0,0.000000,0.000000,-630812090,1264130865,2.2005455493927
95,31759,1e-06,0.000000,0.000001,0,-97006888996,2.2148125171661377
96,31761,0.0,0.000000,0.000000,0,1837468647967162363,2.20517897605896
97,31765,0.0,0.000000,0.000000,39448,1,2.211535692214966
98,31766,0.0,0.000000,0.000000,-122160139892424703,83316593106354176,2.195401430130005
99,31767,0.0,0.000000,0.000000,0,0,2.23988676071167
100,31769,0.0,0.000000,0.000000,-1,-825041105647,2.204662799835205
101,31772,0.0,0.000000,0.000000,1,-1134907106097364993,2.2141671180725098
102,31774,0.0,0.000000,0.000000,146327,72057594037927934,2.209343433380127
