,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,30779,1e-06,0.000000,0.000001,0,1,2.225182294845581
1,30780,0.0,0.000000,0.000000,0,494869208367103,2.2379748821258545
2,30782,0.0,0.000000,0.000000,-2313429,0,2.232877016067505
3,30783,0.0,0.000000,0.000000,0,51671,2.210960865020752
4,30785,1e-06,0.000000,0.000001,0,205,2.2488293647766113
5,30786,1e-06,0.000000,0.000001,0,1,2.2197160720825195
6,30787,0.0,0.000000,0.000000,0,1,2.240145683288574
7,30788,0.0,0.000000,0.000000,0,288230376151711744,2.228192090988159
8,30789,0.0,0.000000,0.000000,-1,-8675849833236,2.237842082977295
9,30793,1e-06,0.000000,0.000001,5422261,-38676128001,2.2400736808776855
10,30794,0.0,0.000000,0.000000,18289693583,-1056565265244158,2.2408559322357178
11,30796,0.0,0.000000,0.000000,1,-232639068251357184,2.22200083732605
12,30798,0.0,0.000000,0.000000,-1,1335362742998,2.2312536239624023
13,30799,0.0,0.000000,0.000000,155411641211,-576460752303423487,2.230074882507324
14,30800,0.0,0.000000,0.000000,-1,-1650,2.2289927005767822
15,30801,0.0,0.000000,0.000000,14326621646,1,2.225141763687134
16,30802,0.0,0.000000,0.000000,71587,180143985094819838,2.222048759460449
17,30803,0.0,0.000000,0.000000,-1,3129220596924417,2.2375943660736084
18,30804,1e-06,0.000000,0.000001,-47450630296,-181832834955083775,2.2343852519989014
19,30805,0.0,0.000000,0.000000,0,0,2.2301883697509766
20,30806,0.0,0.000000,0.000000,0,-1035827914295214079,2.222688674926758
21,30809,1e-06,0.000000,0.000001,0,0,2.237943410873413
22,30810,0.0,0.000000,0.000000,106787172039786486,0,2.2381391525268555
23,30811,0.0,0.000000,0.000000,0,-24467897,2.2181193828582764
24,30812,0.0,0.000000,0.000000,0,-1020,2.2352216243743896
25,30815,0.0,0.000000,0.000000,-2336525008642604,-1208917000454141,2.22517991065979
26,30817,0.0,0.000000,0.000000,-68247061759,1017,2.2255380153656006
27,30818,0.0,0.000000,0.000000,3143982696253,2607687,2.2124710083007812
28,30820,0.0,0.000000,0.000000,0,-576460752303423489,2.234621286392212
29,30821,0.0,0.000000,0.000000,0,-1,2.2344486713409424
30,30822,0.0,0.000000,0.000000,-1969099067037692,-873698327709876222,2.2292702198028564
31,30824,0.0,0.000000,0.000000,1,0,2.2429616451263428
32,30826,0.0,0.000000,0.000000,-212773663,396178002551,2.2463064193725586
33,30827,0.0,0.000000,0.000000,559270975,1,2.244882822036743
34,30828,0.0,0.000000,0.000000,1,0,2.231677532196045
35,30829,0.0,0.000000,0.000000,-2188,-117093590311632896,2.236443281173706
36,30832,0.0,0.000000,0.000000,1,41,2.231506109237671
37,30833,0.0,0.000000,0.000000,2116,-852613180991,2.235352039337158
