,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
96,30139,1e-06,0.000000,0.000001,-10294044223,-14124936636,5.735682725906372
97,30143,1e-06,0.000000,0.000001,-151779197897,-26174732238,5.069809436798096
98,30144,0.0,0.000000,0.000000,419464085151907835,1101912802,5.687921524047852
99,30145,1e-06,0.000000,0.000001,-72000913072942037,-92524532120377,5.5185325145721436
100,30146,0.0,0.000000,0.000000,4545536369272,2593510435411984384,5.774486780166626
101,30147,0.0,0.000000,0.000000,3520294,-5019263293,5.738688945770264
102,30148,1e-06,0.000000,0.000001,-66364262326,-26225910,5.487107038497925
103,30149,1e-06,0.000000,0.000001,0,1,5.072903633117676
104,30150,1e-06,0.000000,0.000001,-20,-13739483312,5.759115934371948
105,30151,1e-06,0.000000,0.000001,1,2917501040276493,5.352456569671631
106,30152,1e-06,0.000000,0.000001,-8499390831,-168410774570395,5.740159511566162
107,30154,1e-06,0.000000,0.000001,-2530048510781,-571150986,5.4860758781433105
108,30155,1e-06,0.000000,0.000001,-33,0,5.24453330039978
109,30159,0.0,0.000000,0.000000,0,0,5.742573976516724
110,30160,1e-06,0.000000,0.000001,162543002957381622,432345564227567617,5.32548975944519
111,30162,1e-06,0.000000,0.000001,-17187720384217087,-138549636,5.275336980819702
112,30164,1e-06,0.000000,0.000001,0,-1,5.537632942199707
113,30166,1e-06,0.000000,0.000001,26,-562949953421312,4.889293909072876
114,30168,1e-06,0.000000,0.000001,-14379995418,-73174508293,5.466187238693237
115,30170,1e-06,0.000000,0.000001,-639511147086610425,1272538474104225802,5.769929647445679
116,30174,1e-06,0.000000,0.000001,-5272274886494,-3710966092953288699,5.781188249588013
117,30175,1e-06,0.000000,0.000001,0,2531168731,5.62756872177124
118,30176,1e-06,0.000000,0.000001,92130,53466089362817023,5.195478439331055
119,30177,1e-06,0.000000,0.000001,9649,-2,5.017993688583374
120,30179,1e-06,0.000000,0.000001,67553994410557440,0,5.750921964645386
121,30180,1e-06,0.000000,0.000001,-1,8963959468,4.243478536605835
122,30181,1e-06,0.000000,0.000001,0,-1,4.863961219787598
123,30182,1e-06,0.000000,0.000001,-1689860018406362,-215443486085,5.451155185699463
124,30183,1e-06,0.000000,0.000001,-926285522010116,-44,5.172646760940552
125,30184,1e-06,0.000000,0.000001,-21703,127710092903639550,5.521558523178101
126,30186,0.0,0.000000,0.000000,809518388740096,810647932926689281,5.59032678604126
127,30188,1e-06,0.000000,0.000001,82,5724180,5.399119853973389
128,30189,0.0,0.000000,0.000000,-5950,-1593253375735,5.768213510513306
129,30190,1e-06,0.000000,0.000001,-641,-1,5.225915431976318
130,30191,0.0,0.000000,0.000000,399,353,5.005370616912842
131,30193,1e-06,0.000000,0.000001,-1094,576460752303423488,5.792717933654785
132,30194,1e-06,0.000000,0.000001,0,9185714664456,5.432829856872559
133,30196,1e-06,0.000000,0.000001,-713588681566,520372905,4.976269245147705
134,30197,1e-06,0.000000,0.000001,-298832013295612,0,5.368434906005859
