,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,33417,0.0,0.000000,0.000000,0,-2399992301825818615,17.242156505584717
1,35296,2e-06,0.000000,0.000002,-18169587388383232,0,20.067751169204712
2,35652,0.0,0.000000,0.000000,1,-67,17.624722480773926
3,40756,2e-06,0.000000,0.000002,0,0,23.128880262374878
4,41220,0.0,0.000000,0.000000,46817639462,-248137988580361112,21.011304140090942
5,41866,0.0,0.000000,0.000000,1,-58680984689,22.975022554397583
6,41940,1e-06,0.000000,0.000001,0,438379739742203,20.192781686782837
7,43544,1e-06,0.000000,0.000001,23522519357573,-1,20.201643466949463
8,45041,1e-06,0.000000,0.000001,-1,0,20.189602851867676
9,45081,1e-06,0.000000,0.000001,-24284483233,-36028797018963969,20.096287965774536
10,45185,1e-06,0.000000,0.000001,0,-147895051354112,22.898154497146606
11,45285,1e-06,0.000000,0.000001,-532233580,1,22.947574377059937
12,45417,8e-06,0.000000,0.000008,0,0,22.119720935821533
13,45446,1e-06,0.000000,0.000001,0,0,20.40602159500122
14,45516,1e-06,0.000000,0.000001,-238653,9228287,20.04630136489868
15,45519,2e-06,0.000000,0.000002,0,0,22.975444793701172
16,45548,1e-06,0.000000,0.000001,503914,-281436835,20.087105751037598
17,45565,1e-06,0.000000,0.000001,-29465515,-210875593312436217,20.08530855178833
18,45596,1e-06,0.000000,0.000001,1,1,20.16007351875305
19,45610,1e-06,0.000000,0.000001,0,93,22.93651008605957
20,45611,1e-06,0.000000,0.000001,27929745036047,0,22.972004890441895
21,45638,1e-06,0.000000,0.000001,-1994051997795,20579003586335,22.715915203094482
22,45686,1e-06,0.000000,0.000001,-54338718269440,-1,20.487748384475708
23,45718,2e-06,0.000000,0.000002,145307039645,-4756885050141526,20.22129535675049
24,45857,1e-06,0.000000,0.000001,-190,-1,20.14669680595398
25,45861,0.0,0.000000,0.000000,-204361818,-1,20.217708587646484
26,45864,1e-06,0.000000,0.000001,1,488892638,19.933552503585815
27,45890,1e-06,0.000000,0.000001,0,-166698272952418304,23.15436553955078
28,46028,1e-06,0.000000,0.000001,-565201753234997248,69987309,20.5452778339386
29,46039,1e-06,0.000000,0.000001,0,7935987786520948643,22.98403024673462
30,46045,1e-06,0.000000,0.000001,3263139405006635010,-3470074904051715,22.919639348983765
31,46079,1e-06,0.000000,0.000001,-4205070,-1109530938,22.81591272354126
32,46082,1e-06,0.000000,0.000001,0,0,20.16742467880249
33,46096,1e-06,0.000000,0.000001,0,1,20.347473621368408
34,46103,1e-06,0.000000,0.000001,15749565,1,22.518627643585205
35,"[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 36658, 37645, 39907, 44706, 44964, 45240, 45676]"
