,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,30000,0.0,0.000000,0.000000,3381,-9183965540115283965,2.245292901992798
1,30001,0.0,0.000000,0.000000,0,-1,2.2271206378936768
2,30002,0.0,0.000000,0.000000,-1351978189211041783,1,2.2420451641082764
3,30003,0.0,0.000000,0.000000,6316919410645,56265989498601470,2.222273111343384
4,30005,1e-06,0.000000,0.000001,0,-1,2.249178409576416
5,30006,0.0,0.000000,0.000000,-104827613,1,2.2446484565734863
6,30015,1e-06,0.000000,0.000001,8580606814,-4,2.2432618141174316
7,30016,0.0,0.000000,0.000000,-12849840,-576460752303423489,2.2366726398468018
8,30019,0.0,0.000000,0.000000,0,49866246143,2.2413010597229004
9,30020,0.0,0.000000,0.000000,0,0,2.239725351333618
10,30022,0.0,0.000000,0.000000,0,0,2.234053134918213
11,30023,0.0,0.000000,0.000000,-1,-90362729,2.2454869747161865
12,30025,0.0,0.000000,0.000000,0,-26458895,2.231323480606079
13,30028,0.0,0.000000,0.000000,-39929431671540,0,2.2393858432769775
14,30029,1e-06,0.000000,0.000001,1,1,2.2552199363708496
15,30030,1e-06,0.000000,0.000001,1,-882705526964617214,2.296922206878662
16,30031,0.0,0.000000,0.000000,0,-82990397345,2.2180047035217285
17,30033,1e-06,0.000000,0.000001,-1,0,2.2640416622161865
18,30037,0.0,0.000000,0.000000,0,-1297036692682702849,2.2474114894866943
19,30040,0.0,0.000000,0.000000,0,5457676632063,2.2411949634552
20,30041,0.0,0.000000,0.000000,1,-1,2.246558427810669
21,30043,0.0,0.000000,0.000000,-1,-80177573027840,2.228959798812866
22,30044,0.0,0.000000,0.000000,0,34584,2.2309224605560303
23,30047,0.0,0.000000,0.000000,0,-720575940379279360,2.2267191410064697
24,30048,0.0,0.000000,0.000000,3932425,0,2.2334251403808594
25,30049,0.0,0.000000,0.000000,4866721929715,5404319552844595196,2.2318124771118164
26,30050,0.0,0.000000,0.000000,1167388094129,-16187086741282800,2.221198558807373
27,30051,1e-06,0.000000,0.000001,0,-1,2.235238790512085
28,30052,0.0,0.000000,0.000000,1,4035225266123964414,2.2287051677703857
29,30053,0.0,0.000000,0.000000,0,-2305843009213693953,2.2353787422180176
30,30054,0.0,0.000000,0.000000,209767919339,3318,2.2128617763519287
31,30055,0.0,0.000000,0.000000,-1,-45462279112,2.2343950271606445
32,30056,0.0,0.000000,0.000000,165588191541,-1,2.2204010486602783
33,30057,0.0,0.000000,0.000000,-11457,-2882303761517117438,2.235703229904175
34,30058,0.0,0.000000,0.000000,0,-7761563020389449737,2.2318243980407715
35,30059,0.0,0.000000,0.000000,-1,-5696536576,2.2329776287078857
36,30060,0.0,0.000000,0.000000,-1558978938112,-1,2.220416784286499
37,30061,1e-06,0.000000,0.000001,-10724732,0,2.2468857765197754
38,30063,0.0,0.000000,0.000000,1,-1754205519871,2.2323639392852783
39,30065,1e-06,0.000000,0.000001,0,0,2.231978416442871
40,30066,0.0,0.000000,0.000000,6545982058383015933,-40532396646334464,2.229034185409546
41,30067,0.0,0.000000,0.000000,119844568404328447,0,2.2353334426879883
42,30069,0.0,0.000000,0.000000,3123753,-3577211575,2.2335708141326904
43,30070,0.0,0.000000,0.000000,807492321,135422545924097,2.2179195880889893
44,30071,0.0,0.000000,0.000000,-20781539786794497,4490237,2.2424938678741455
45,30073,1e-06,0.000000,0.000001,-120,1,2.2287535667419434
46,30074,1e-06,0.000000,0.000001,-82623658776725,272343852797950,2.241887092590332
47,30076,0.0,0.000000,0.000000,0,0,2.234557628631592
48,30078,0.0,0.000000,0.000000,0,-1,2.231579303741455
