,Seed,Errors
1007,1481,"Register allocation: no register bank for type int
"
1008,1485,"Register allocation: no register bank for type int
"
1009,1486,"at line line 4: can not allocate v0.115 into RAX.41, the variable is already allocated in RDI.48
"
1010,1487,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1011,1488,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1012,1489,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1013,1492,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1014,1493,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1015,1494,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1016,1495,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1017,1496,"Register allocation: no register bank for type int
"
1018,1499,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1019,1500,"Register allocation: no register bank for type int
"
1020,1501,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (8-10): typing error: the expression has type U64 instead of U64[5]
"
1021,1503,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1022,1505,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for word
PLEASE REPORT
"
1023,1506,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1024,1507,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v4.92 is an array (function return)
"
1025,1508,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (23-25): typing error: can not implicitly cast U32 into U64
"
1026,1509,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (8-10): variable v3.94 is an array (function return)
"
1027,1510,"Register allocation: no register bank for type int
"
1028,1511,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 10 (8-10): variable v1.94 is an array (function return)
"
1029,1512,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
1030,1514,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1031,1515,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (8-10): variable v5.94 is an array (function return)
"
1032,1516,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-1): parse error
"
1033,1517,"Register allocation: no register bank for type bool
"
1034,1518,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1035,1519,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1036,1521,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (35-36): parse error
"
1037,1523,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1038,1524,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1039,1525,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 5 (8-10): typing error: the expression has type U64 instead of U64[5]
"
1040,1526,"Register allocation: no register bank for type int
"
1041,1527,": line -1 (-1): variable v0.96 is an array (function argument)
"
1042,1528,"compilation error in functions main and main at position line 6 from line 15: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1043,1529,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 42 (1-7): typing error: the expression has type U256[5] instead of U256
"
1044,1530,"Register allocation: no register bank for type int
"
1045,1531,"WARNING: CAN NOT FIND IINFO 1
Register allocation at line line -1: variable ZF.130 must be allocated to conflicting register ZF.78
"
1046,1532,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (36-37): parse error
"
1047,1533,"compilation error in functions f0 and f0 at position line 11: assembler error Invalid pexpr for word
PLEASE REPORT
"
1048,1534,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (23-25): typing error: can not implicitly cast U128[5] into U64
"
1049,1536,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U8[5] into U64
"
1050,1537,"Register allocation: no register bank for type bool
"
1051,1539,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v4.92 is an array (function return)
"
1052,1540,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v4.92 is an array (function return)
"
1053,1543,"Register allocation: no register bank for type int
"
1054,1544,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1055,1545,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1056,1546,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
1057,1547,": line -1 (-1): variable v0.96 is an array (function argument)
"
1058,1548,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1059,1549,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1060,1550,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1061,1551,"Register allocation: no register bank for type bool
"
1062,1553,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U16 into U64
"
1063,1554,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1064,1558,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 85 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1065,1559,"WARNING: CAN NOT FIND IINFO 1
Register allocation at line line -1: variable ZF.145 must be allocated to conflicting register ZF.78
"
1066,1560,": line -1 (-1): variable v0.92 is an array (function argument)
"
1067,1561,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1068,1562,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (23-25): typing error: can not implicitly cast U16 into U64
"
1069,1563,"compilation error in functions f0 and f0 at position line 7: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1070,1564,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1071,1565,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1072,1566,"Register allocation: no register bank for type bool
"
1073,1567,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1074,1568,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1075,1569,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1076,1570,"Register allocation: no register bank for type int
"
1077,1572,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1078,1573,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1079,1574,"at line line 4: can not allocate v0.96 into RAX.41, the variable is already allocated in RDI.48
"
1080,1576,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 11 (8-10): variable v6.94 is an array (function return)
"
1081,1577,"Register allocation: no register bank for type bool
"
1082,1578,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for word
PLEASE REPORT
"
1083,1579,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (23-25): typing error: can not implicitly cast U16 into U64
"
1084,1580,"Register allocation: no register bank for type bool
"
1085,1581,"Register allocation: no register bank for type bool
"
1086,1582,"Register allocation: no register bank for type int
"
1087,1583,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1088,1584,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
1089,1586,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1090,1587,"compilation error in functions f0 and f0 at position line 14: linearisation error assign not a word
PLEASE REPORT
"
1091,1588,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1092,1589,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1093,1590,"Register allocation: no register bank for type int
"
1094,1591,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v7.92 is an array (function return)
"
1095,1592,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v7.92 is an array (function return)
"
1096,1593,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1097,1597,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1098,1598,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1099,1599,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (29-30): parse error
"
1100,1600,"compilation error in functions main and main at position line 9 from line 32: assembler error assemble_x86_opn : invalid instruction (check) CMP_64
PLEASE REPORT
"
1101,1601,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (41-42): parse error
"
1102,1606,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1103,1607,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1104,1608,"Register allocation: no register bank for type int
"
1105,1609,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 18 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1106,1610,"Register allocation: no register bank for type int
"
1107,1611,"Register allocation: no register bank for type bool
"
1108,1613,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1109,1614,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1110,1615,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
1111,1616,"Register allocation: no register bank for type int
"
1112,1620,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1113,1626,"compilation error in functions main and main at position line 10 from line 21: linearisation error assign not a word
PLEASE REPORT
"
1114,1627,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1115,1628,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1116,1630,"Register allocation: no register bank for type int
"
1117,1631,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1118,1633,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1119,1637,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1120,1639,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1121,1641,"Register allocation: no register bank for type int
"
1122,1642,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1123,1643,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1124,1644,"compilation error in functions f0 and f0 at position line 9: assembler error assemble_x86_opn : invalid instruction (check) CMP_16
PLEASE REPORT
"
1125,1645,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1126,1646,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 15 (1-17), variables result and b1 will be merged to v0
"
1127,1648,"Register allocation: no register bank for type int
"
1128,1649,"compilation error in functions f0 and f0 at position line 7: assembler error Invalid pexpr for word
PLEASE REPORT
"
1129,1650,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1130,1651,"Register allocation: no register bank for type bool
"
1131,1652,"Register allocation: no register bank for type bool
"
1132,1653,"Register allocation at line line 15 from line 50: variable result.173 must be allocated to conflicting register ZF.78
"
1133,1654,"at line line 4: can not allocate v0.115 into RAX.41, the variable is already allocated in RDI.48
"
1134,1655,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 38 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1135,1656,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
1136,1657,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1137,1658,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1138,1659,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1139,1660,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1140,1661,"compilation error in functions f0 and f0 at position line 12: assembler error: invalid condition 
(~ (((64u) 9181) >=u RAX.41))
PLEASE REPORT
"
1141,1662,": line -1 (-1): variable v0.104 is an array (function argument)
"
1142,1663,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1143,1666,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (35-36): parse error
"
1144,1668,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (41-42): parse error
"
1145,1669,"Register allocation: no register bank for type int
"
1146,1670,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1147,1671,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1148,1672,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1149,1673,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 11 (8-10): variable v2.92 is an array (function return)
"
1150,1674,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-1): parse error
"
1151,1675,"Register allocation: no register bank for type int
"
1152,1676,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1153,1677,"Register allocation: no register bank for type bool
"
1154,1678,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (23-25): typing error: can not implicitly cast U16[5] into U64
"
1155,1679,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 15 (1-7): typing error: the expression has type U64[5] instead of U64
"
1156,1680,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 15 (1-17), variables result and b1 will be merged to v0
"
1157,1681,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 18 (8-10): typing error: the expression has type U64 instead of U64[5]
"
1158,1682,"Register allocation: no register bank for type int
"
1159,1683,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (41-42): parse error
"
1160,1684,"WARNING: CAN NOT FIND IINFO 1
Register allocation: no register bank for type int
"
1161,1685,": line -1 (-1): variable v0.97 is an array (function argument)
"
1162,1686,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1163,1687,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1164,1688,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
1165,1689,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1166,1694,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (25-26): parse error
"
1167,1698,"Register allocation: no register bank for type int
"
1168,1699,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U16 into U64
"
1169,1700,"Register allocation: no register bank for type bool
"
1170,1701,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1171,1702,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1172,1705,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1173,1707,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 11 (8-10): typing error: the expression has type U64 instead of U64[5]
"
1174,1708,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
1175,1709,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (41-42): parse error
"
1176,1711,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 8 (23-25): typing error: can not implicitly cast U64[5] into U64
"
1177,1712,"compilation error in functions f0 and f0 at position line 10: assembler error assemble_x86_opn : invalid instruction (check) CMP_64
PLEASE REPORT
"
1178,1713,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1179,1714,"Register allocation: no register bank for type int
"
1180,1715,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1181,1716,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1182,1717,"Register allocation: no register bank for type bool
"
1183,1718,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1184,1719,"Register allocation: no register bank for type bool
"
1185,1720,"Register allocation at line line 16 from line 57: variable result.190 must be allocated to conflicting register ZF.78
"
1186,1721,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1187,1724,"Register allocation at line line 14 from line 50: variable ZF.168 must be allocated to conflicting register ZF.78
"
1188,1725,"Register allocation: no register bank for type int
"
1189,1726,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 17 (8-10): variable v1.94 is an array (function return)
"
1190,1727,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 20 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1191,1728,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (0-12): parse error
"
1192,1731,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1193,1733,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1194,1734,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1195,1737,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1196,1739,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1197,1740,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1198,1741,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
1199,1742,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1200,1743,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): typing error: the expression has type U64 instead of U64[5]
"
1201,1745,": line -1 (-1): variable v0.92 is an array (function argument)
"
1202,1746,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1203,1749,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 6 (23-25): typing error: can not implicitly cast U8[5] into U64
"
1204,1751,"Register allocation: no register bank for type bool
"
1205,1752,"at line line 4: can not allocate v0.115 into RAX.41, the variable is already allocated in RDI.48
"
1206,1753,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
1207,1755,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1208,1756,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0
"
1209,1758,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1210,1759,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1211,1760,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1212,1761,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0
"
1213,1762,"Register allocation: no register bank for type int
"
1214,1763,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1215,1764,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 4 (36-37): parse error
"
1216,1766,": line -1 (-1): variable v0.94 is an array (function argument)
"
1217,1767,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1218,1768,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1219,1769,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1220,1772,"at line line 4: can not allocate v0.94 into RAX.41, the variable is already allocated in RDI.48
"
1221,1773,"Register allocation: no register bank for type int
"
1222,1774,"Register allocation: no register bank for type bool
"
1223,1775,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1224,1776,"Register allocation: no register bank for type bool
"
1225,1777,"Register allocation: no register bank for type bool
"
1226,1778,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1227,1779,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1228,1780,"compilation error in functions f0 and f0 at position line 9: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
1229,1781,"at line line 4: can not allocate v0.102 into RAX.41, the variable is already allocated in RDI.48
"
1230,1784,"Register allocation: no register bank for type int
"
1231,1785,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (23-25): typing error: can not implicitly cast U32[5] into U64
"
1232,1786,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (8-10): variable v2.94 is an array (function return)
"
1233,1787,"Register allocation: no register bank for type bool
"
1234,1789,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1235,1790,"Register allocation: no register bank for type int
"
1236,1792,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1237,1793,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1238,1794,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
1239,1795,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1240,1797,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 25 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1241,1799,"at line line 4: can not allocate v0.98 into RAX.41, the variable is already allocated in RDI.48
"
1242,1804,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1243,1805,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1244,1806,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1245,1809,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
1246,1810,"Register allocation at line line 11 from line 24: variable v3.163 must be allocated to conflicting register ZF.78
"
