,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,30000,1e-06,0.000000,0.000001,-883009,1909946186727423,4.150506973266602
1,30001,1e-06,0.000000,0.000001,5386305154335113212,-756139,3.845503807067871
2,30002,1e-06,0.000000,0.000001,1,-4426578681401,3.713258981704712
3,30003,1e-06,0.000000,0.000001,1149635422846972,260,3.8939199447631836
4,30005,1e-06,0.000000,0.000001,1,-113,3.8456459045410156
5,30006,1e-06,0.000000,0.000001,9583204639819,-65768447524,4.010727167129517
6,30015,1e-06,0.000000,0.000001,0,147285367286944,3.9879350662231445
7,30016,1e-06,0.000000,0.000001,-6374909121883241,-1,3.975219964981079
8,30019,1e-06,0.000000,0.000001,0,58724148448089249,3.850726842880249
9,30020,1e-06,0.000000,0.000001,1,6382726571890835416,3.909268856048584
10,30022,1e-06,0.000000,0.000001,-33837645,0,3.7850759029388428
11,30023,1e-06,0.000000,0.000001,0,0,3.8734116554260254
12,30025,1e-06,0.000000,0.000001,62457668,-13094096756340,3.7971720695495605
13,30028,1e-06,0.000000,0.000001,8,1,3.6393229961395264
14,30029,1e-06,0.000000,0.000001,-1208371178,-57351259756,3.792250871658325
15,30030,1e-06,0.000000,0.000001,-615553,-222263452,3.6854889392852783
16,30031,1e-06,0.000000,0.000001,-5476712102,0,3.760327100753784
17,30033,1e-06,0.000000,0.000001,1,-43033460,3.9341840744018555
18,30037,1e-06,0.000000,0.000001,139770908562795,823971483222016,3.870723009109497
19,30040,1e-06,0.000000,0.000001,-129021315190614,0,3.834089994430542
20,30041,1e-06,0.000000,0.000001,0,4,3.8954761028289795
21,30043,1e-06,0.000000,0.000001,-915865206699011,5720195125,3.8834221363067627
22,30044,1e-06,0.000000,0.000001,-1,1373439,3.9303882122039795
23,30047,1e-06,0.000000,0.000001,0,-1,4.042686939239502
24,30048,1e-06,0.000000,0.000001,822857662,0,3.8548049926757812
25,30049,1e-06,0.000000,0.000001,0,274639614822400,3.8383629322052
26,30050,1e-06,0.000000,0.000001,36628952367824896,78,3.7502899169921875
27,30051,1e-06,0.000000,0.000001,0,-445293413156257768,3.84543514251709
28,30052,1e-06,0.000000,0.000001,1,-17130336,3.8473072052001953
29,30053,1e-06,0.000000,0.000001,1309354313974046,1,3.7742819786071777
30,30054,1e-06,0.000000,0.000001,-11,0,3.9118831157684326
31,30055,1e-06,0.000000,0.000001,0,-2651300491689984,3.8520660400390625
32,30056,1e-06,0.000000,0.000001,12680014938112,-103319733272575,3.8284881114959717
33,30057,1e-06,0.000000,0.000001,-1,0,3.6632649898529053
34,30058,1e-06,0.000000,0.000001,8966,-1,3.685781955718994
35,30059,1e-06,0.000000,0.000001,-4576942,-467494627772139,3.8567910194396973
36,30060,1e-06,0.000000,0.000001,52949972486,4104915578433367,3.7990682125091553
37,30061,1e-06,0.000000,0.000001,-703390255585136613,-2,3.8939321041107178
38,30063,1e-06,0.000000,0.000001,1,-32135453040705537,3.762861967086792
39,30065,1e-06,0.000000,0.000001,207094038878,-1,3.868385076522827
