,Seed,Time,Fastest,Slowest,F_input,S_input,Total_running_time
0,36658,0.0,0.000001,0.000001,0,518129447698335,12.536691904067993
1,37645,0.0,0.000001,0.000001,19697023,-864275513059835861,12.403762817382812
2,"[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]","[30068, 31542, 33216, 33770, 34620, 35353, 35625, 35951, 39907, 44706, 44964, 45240, 45676]"
